adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,name,vote_average,vote_count
False,/8YNt2j70BIWFhCv4zRr2wifdv6C.jpg,"[16, 10765, 10751, 10762]",29303,['CA'],en,The Ultimate Book of Spells,,2.4436,/8hul1ozjwmOn69ZpDflj2TmZIgF.jpg,2001-09-12,The Ultimate Book of Spells,6.5,2
False,/5lfj1E99LoGqrTI0M0lrV66o3ox.jpg,"[10767, 10763]",33167,['GB'],en,Lorraine,,2.3862,/g8lPbqXSphqtwXhUUPhxFznL68V.jpg,2001-09-03,Lorraine,2.4,7
False,,"[16, 35]",65120,['FR'],fr,Canards extrêmes,,2.3497,/o8Tsmia5XPUFJDRwhQpTxMS2EPy.jpg,2001-09-05,Canards extrêmes,0.0,0
False,/r8RTLOu7iuv9IdACmN8zvcg0dQ1.jpg,[35],10302,['US'],en,Emeril,,2.2897,/lOZZP49TtYyooVvfOLvMdPlnPnT.jpg,2001-09-25,Emeril,0.0,0
False,/9CM8A3LcOpC78Bfu3xSO4BeaYh6.jpg,"[80, 18]",221311,['PT'],pt,O Espírito da Lei,,2.266,/b4UPUastycY362qKGUZ7itge7AF.jpg,2001-09-23,O Espírito da Lei,0.0,0
False,/bqGLpJYwYqxsp31KNXxNQ12bBPk.jpg,[18],12132,['US'],en,Philly,,2.194,/iFVhKc2G2RhNbYChcaeIQHdNYOP.jpg,2001-09-25,Philly,6.8,5
False,/lp9Md7E5Y17u9t9hTgYCZ0w7D9f.jpg,"[18, 80]",30668,['US'],en,Thieves,,2.1892,/rEIc3FTeHbeSXkNqBFmSiszx2JW.jpg,2001-09-28,Thieves,6.5,6
False,,[35],8423,['US'],en,Inside Schwartz,,2.1878,,2001-09-27,Inside Schwartz,0.0,0
False,/o7rz7fmDbZZqBWDOA6Xhv7nHOs9.jpg,[],20236,['GB'],en,Hollyoaks: Movin' On,,2.1841,/hSrtrLN0J0yR6vblF0oaADkjT8E.jpg,2001-09-03,Hollyoaks: Movin' On,0.0,0
False,/nICJjzuvSBgVFc4RyR5ZaQRzQLV.jpg,[10764],32678,['IT'],it,Amici di Maria De Filippi,,2.1671,/nHFOlO0lB8WeyuPS2i5V7ZbCfhB.jpg,2001-09-17,Amici di Maria De Filippi,8.1,5
