tmdb_id,titulo,certificacion,espectadores_live,es_tendencia,es_popular
1920,Twin Peaks,TV-MA,195,True,False
247718,MobLand,TV-MA,194,True,True
44217,Vikings,TV-MA,193,True,False
580,Star Trek: Deep Space Nine,TV-PG,191,True,False
2288,Prison Break,TV-14,190,True,False
46533,The Americans,TV-MA,187,True,False
2290,Stargate Atlantis,TV-PG,187,True,False
297024,Fear Factor: House of Fear,,187,True,True
32608,Ancient Aliens,TV-PG,185,True,False
255055,Doc,TV-14,182,True,False
1447,Psych,TV-PG,181,True,False
211178,The Gray House,,179,True,True
2750,Silent Witness,TV-14,178,True,False
279603,Patience,,176,True,False
52,That '70s Show,TV-PG,175,True,False
215092,Alpha Males,TV-MA,175,True,False
119051,Wednesday,TV-14,173,True,False
204646,On Patrol: Live,TV-14,173,True,False
55808,Gogglebox,,172,True,False
30984,Bleach,TV-14,170,True,False
32692,Blue Bloods,TV-14,170,True,False
247767,The Studio,TV-MA,170,True,True
80240,The Queen of Flow,TV-14,170,True,False
48866,The 100,TV-14,169,True,False
205715,Gen V,TV-MA,168,True,False
127532,Solo Leveling,TV-14,168,True,False
251941,St. Denis Medical,TV-14,168,True,False
228305,Task,TV-MA,167,True,True
1409,Sons of Anarchy,TV-MA,166,True,False
66573,The Good Place,TV-14,165,True,False
69740,Ozark,TV-MA,165,True,False
157239,Alien: Earth,TV-MA,164,True,True
97525,To Your Eternity,TV-14,164,True,False
120089,SPY x FAMILY,TV-14,163,True,False
82856,The Mandalorian,TV-14,162,True,False
63174,Lucifer,TV-14,162,True,False
39351,Grimm,TV-14,160,True,False
259909,Dexter: Resurrection,TV-MA,160,True,True
61865,When Calls the Heart,TV-G,160,True,False
4589,Arrested Development,TV-MA,158,True,False
83631,What We Do in the Shadows,TV-MA,158,True,False
110492,Peacemaker,TV-MA,157,True,False
85077,The Chosen,TV-PG,157,True,False
85937,Demon Slayer: Kimetsu no Yaiba,TV-MA,156,True,False
293608,Undercover Miss Hong,,156,True,True
291334,The Fall and Rise of Reggie Dinkins,TV-14,154,True,True
1415,Elementary,TV-14,153,True,False
63926,One-Punch Man,TV-PG,151,True,False
4608,30 Rock,TV-14,151,True,False
2140,Everybody Loves Raymond,TV-PG,151,True,False
246,Avatar: The Last Airbender,TV-Y7,150,True,False
96580,Resident Alien,TV-14,150,True,False
208851,A Thousand Blows,TV-MA,150,True,False
260471,Shifting Gears,TV-PG,150,True,False
10283,Archer,TV-MA,148,True,False
71790,S.W.A.T.,TV-14,148,True,False
12786,Murdoch Mysteries,TV-PG,148,True,False
67198,Star Trek: Discovery,TV-14,147,True,False
158756,Shoresy,TV-MA,147,True,False
81358,Mr Inbetween,TV-MA,146,True,False
31132,Regular Show,TV-PG,145,True,False
31910,Naruto Shippūden,TV-PG,144,True,False
58832,Naked and Afraid,TV-14,144,True,False
4194,Star Wars: The Clone Wars,TV-PG,142,True,False
66902,Below Deck Mediterranean,TV-14,142,True,False
127235,Invasion,TV-MA,141,True,False
82782,The Righteous Gemstones,TV-MA,141,True,False
246412,The Copenhagen Test,TV-MA,141,True,True
10957,Australian Survivor,,141,True,False
1413,American Horror Story,TV-MA,140,True,False
87108,Chernobyl,TV-MA,139,True,False
157744,1923,TV-MA,139,True,False
280049,Hell Mode: The Hardcore Gamer Dominates in Another World with Garbage Balancing,TV-14,138,True,True
1436,Justified,TV-MA,137,True,False
287760,Love Story in the 1970s,,136,True,True
241609,Your Friends & Neighbors,TV-MA,135,True,True
95,Buffy the Vampire Slayer,TV-14,134,True,False
97645,Solar Opposites,TV-MA,134,True,False
2370,Hell's Kitchen,TV-14,134,True,False
1678,The Golden Girls,TV-PG,134,True,False
63726,Alone,TV-MA,134,True,False
87940,Hudson & Rex,TV-PG,134,True,False
63247,Westworld,TV-MA,133,True,False
46260,Naruto,TV-PG,133,True,False
250504,The Beast in Me,TV-MA,133,True,True
84910,The Masked Singer,TV-PG,133,True,False
273977,The Art of Sarah,TV-MA,133,True,True
154526,MF GHOST,TV-14,132,True,False
65300,The Real Housewives of Potomac,TV-14,131,True,False
287591,In the Clear Moonlit Dusk,,131,True,True
61511,Father Brown,TV-PG,130,True,False
60735,The Flash,TV-14,129,True,False
688,The West Wing,TV-14,129,True,False
86848,Evil,TV-MA,129,True,False
141,Cheers,TV-PG,129,True,False
296523,Girl Taken,TV-MA,129,True,True
127635,Marvel's Spidey and His Amazing Friends,TV-Y,128,True,False
46298,Hunter x Hunter,TV-14,127,True,False
203857,The Diplomat,TV-MA,127,True,False
93405,Squid Game,TV-MA,126,True,False
61222,BoJack Horseman,TV-MA,126,True,False
211684,The Walking Dead: Daryl Dixon,TV-MA,126,True,False
279446,Swords Into Plowshares,,125,True,True
243754,Love Island: All Stars,,124,True,False
105,Sex and the City,TV-MA,122,True,False
918,M*A*S*H,TV-PG,122,True,False
204266,TRIGUN STAMPEDE,TV-14,122,True,False
119845,Power Book IV: Force,TV-MA,121,True,False
5146,The First 48,TV-MA,121,True,False
1973,24,TV-14,120,True,False
12971,Dragon Ball Z,TV-14,120,True,False
245312,A Man on the Inside,TV-14,120,True,False
2472,The Apprentice (UK),,120,True,False
214087,Universal Basic Guys,TV-14,120,True,False
41727,Banshee,TV-MA,119,True,False
61889,Marvel's Daredevil,TV-MA,118,True,False
71694,Snowfall,TV-MA,118,True,False
256721,Gachiakuta,,118,True,True
37606,The Amazing World of Gumball,TV-Y7,117,True,False
62185,Southern Charm,TV-14,117,True,False
12609,Dragon Ball,TV-PG,116,True,False
117488,Yellowjackets,TV-MA,116,True,False
113962,Lioness,TV-MA,116,True,False
1431,CSI: Crime Scene Investigation,TV-14,115,True,False
45790,JoJo's Bizarre Adventure,TV-MA,115,True,False
283228,American Classic,,115,True,True
94605,Arcane,TV-14,114,True,False
61581,Vanderpump Rules,TV-14,114,True,False
202555,Daredevil: Born Again,TV-MA,113,True,True
1403,Marvel's Agents of S.H.I.E.L.D.,TV-14,112,True,False
40008,Hannibal,TV-MA,112,True,False
46296,Spartacus,TV-MA,112,True,False
31911,Fullmetal Alchemist: Brotherhood,TV-14,112,True,False
222766,The Day of the Jackal,TV-MA,112,True,False
220542,The Apothecary Diaries,TV-14,112,True,False
90802,The Sandman,TV-MA,111,True,False
285788,Tojima Wants to Be a Kamen Rider,,111,True,True
203737,Oshi no Ko,TV-14,110,True,False
764,Midsomer Murders,TV-14,110,True,False
247704,Red Eye,TV-14,110,True,False
235635,Like Water for Chocolate,TV-MA,110,True,False
1972,Battlestar Galactica,TV-14,109,True,False
118357,1883,TV-MA,109,True,False
285291,Reincarnated as a Dragon Hatchling,TV-14,109,True,True
78191,You,TV-MA,108,True,False
86831,"Love, Death & Robots",TV-MA,108,True,False
1549,WWE SmackDown,TV-PG,108,True,False
298343,Strip Law,TV-MA,108,True,True
221079,The Last Frontier,TV-MA,107,True,True
98410,1000-lb Sisters,TV-14,107,True,False
1981,Charmed,TV-14,106,True,False
62117,Younger,TV-14,106,True,False
84773,The Lord of the Rings: The Rings of Power,TV-14,105,True,False
244244,Run Away,TV-MA,105,True,True
271267,The Chair Company,TV-MA,105,True,True
37678,The Voice,TV-PG,104,True,False
126308,Shōgun,TV-MA,103,True,False
314,Star Trek: Enterprise,TV-PG,103,True,False
70485,Mr. Mercedes,TV-MA,103,True,False
1435,The Good Wife,TV-14,102,True,False
93812,The Great,TV-MA,102,True,False
46923,Shetland,TV-PG,102,True,False
108255,All Creatures Great and Small,TV-14,102,True,False
90,Mayday,TV-14,102,True,False
91371,The UnXplained,TV-14,102,True,False
236534,Tales of Herding Gods,TV-MA,102,True,False
295483,The Villainess Is Adored by the Prince of the Neighbor Kingdom,,102,True,True
21510,White Collar,TV-PG,101,True,False
62852,Billions,TV-MA,101,True,False
1220,The Graham Norton Show,TV-14,100,True,False
99363,Expedition X,TV-PG,100,True,False
1412,Arrow,TV-14,99,True,False
65494,The Crown,TV-MA,99,True,False
63333,The Last Kingdom,TV-MA,99,True,False
250505,Agatha Christie's Seven Dials,TV-14,99,True,True
237748,Brilliant Minds,TV-14,99,True,False
275902,Kaya-chan Isn't Scary,TV-14,99,True,True
308402,It's Not Like That,,99,True,True
245703,Dept. Q,TV-MA,98,True,True
2224,The Daily Show,TV-14,98,True,False
45140,Teen Titans Go!,TV-PG,98,True,False
96450,Miss Scarlet and the Duke,TV-PG,98,True,False
19885,Sherlock,TV-14,97,True,False
4613,Band of Brothers,TV-MA,97,True,False
117648,Clarkson's Farm,TV-PG,97,True,False
39272,Once Upon a Time,TV-PG,96,True,False
40075,Gravity Falls,TV-Y7,96,True,False
4239,Married... with Children,TV-PG,96,True,False
61692,Fresh Off the Boat,TV-PG,96,True,False
278639,Extracted,TV-14,96,True,False
62286,Fear the Walking Dead,TV-MA,95,True,False
34967,Falling Skies,TV-14,95,True,False
222023,Jury Duty,TV-MA,95,True,False
226687,AEW: Collision,TV-14,95,True,False
274915,The Borderline,,95,True,True
65798,Letterkenny,TV-MA,94,True,False
873,Columbo,TV-PG,94,True,False
73107,Barry,TV-MA,93,True,False
252000,Down Cemetery Road,TV-MA,93,True,True
118422,90 Day: The Single Life,TV-14,93,True,False
45,Top Gear,TV-PG,92,True,False
1554,QI,,92,True,False
72755,Absentia,TV-MA,92,True,False
308762,Crime in Progress,,92,True,True
2490,The IT Crowd,TV-14,91,True,False
110316,Alice in Borderland,TV-MA,91,True,False
1695,Monk,TV-14,91,True,False
46268,Moonshiners,TV-14,91,True,False
288589,Easygoing Territory Defense by the Optimistic Lord,TV-14,91,True,True
71738,The Orville,TV-14,90,True,False
240411,Dan Da Dan,TV-MA,90,True,False
111474,Gabby's Dollhouse,TV-Y,90,True,False
201834,ted,TV-MA,89,True,False
272418,Robin Hood,TV-MA,89,True,True
281495,The Devil Between Us,,89,True,True
1621,Boardwalk Empire,TV-MA,88,True,False
60585,Bosch,TV-MA,88,True,False
76148,Derry Girls,TV-MA,88,True,False
120998,Poker Face,TV-MA,88,True,False
270444,Lead Children,TV-MA,88,True,True
240936,Allegiance,,88,True,False
69720,Summer House,TV-14,88,True,False
63351,Narcos,TV-MA,87,True,False
194764,The Penguin,TV-MA,87,True,False
139060,Chained Soldier,TV-MA,87,True,False
308051,Blue Skies,,87,True,True
33907,Downton Abbey,TV-14,86,True,False
196454,Queen Charlotte: A Bridgerton Story,TV-MA,86,True,False
85021,Gangs of London,TV-MA,86,True,False
69900,Nirvanna the Band the Show,TV-MA,86,True,False
13916,Death Note,TV-14,85,True,False
1414,The Shield,TV-MA,85,True,False
269,One Tree Hill,TV-14,85,True,False
71789,SEAL Team,TV-14,85,True,False
73223,Black Clover,TV-MA,85,True,False
270420,No Tail to Tell,,85,True,True
1404,Chuck,TV-14,84,True,False
95057,Superman & Lois,TV-14,84,True,False
155431,RuPaul's Drag Race UK vs the World,TV-MA,84,True,False
1425,House of Cards,TV-MA,83,True,False
250923,Nobody Wants This,TV-MA,83,True,False
2912,Jeopardy!,TV-G,83,True,False
2947,Veep,TV-MA,82,True,False
124101,Hacks,TV-MA,82,True,False
30703,Shark Tank,TV-PG,82,True,False
280632,How Dare You!?,,82,True,True
67178,Marvel's The Punisher,TV-MA,81,True,False
111110,ONE PIECE,TV-14,81,True,False
253,Star Trek,TV-PG,81,True,False
790,Agatha Christie's Poirot,TV-PG,81,True,False
74016,The Resident,TV-14,80,True,False
194766,The Summer I Turned Pretty,TV-14,80,True,False
49009,The Goldbergs,TV-14,80,True,False
35338,La que se avecina,TV-PG,80,True,False
139798,Single's Inferno,TV-PG,80,True,False
54344,The Leftovers,TV-MA,79,True,False
73375,Tom Clancy's Jack Ryan,TV-MA,79,True,False
241554,Murderbot,TV-MA,79,True,True
2604,The Boondocks,TV-MA,79,True,False
253941,The Paper,TV-14,79,True,True
50042,Below Deck,TV-14,79,True,False
19882,Gladiators UK,,79,True,False
67136,This Is Us,TV-14,78,True,False
62715,Dragon Ball Super,TV-PG,78,True,False
64464,11.22.63,TV-MA,77,True,False
39297,Last Man Standing,TV-PG,77,True,False
197449,Loot,TV-MA,77,True,False
249042,Adolescence,TV-MA,0,False,True
248852,UNTAMED,TV-MA,0,False,True
226362,The Eternaut,TV-MA,0,False,True
286801,Monster: The Ed Gein Story,TV-MA,0,False,True
242054,The Residence,TV-MA,0,False,True
243200,"Old Dog, New Tricks",TV-MA,0,False,True
114471,Ironheart,TV-14,0,False,True
280888,Two Graves,TV-MA,0,False,True
274979,The Crystal Cuckoo,TV-MA,0,False,True
249039,Black Rabbit,TV-MA,0,False,True
219760,The Terminal List: Dark Wolf,TV-MA,0,False,True
245648,Billionaires' Bunker,TV-MA,0,False,True
196890,Chief of War,TV-MA,0,False,True
246992,Sirens,TV-MA,0,False,True
243316,The Four Seasons,,0,False,True
229711,The Bondsman,TV-MA,0,False,True
235930,Devil May Cry,TV-MA,0,False,True
255859,Wayward,TV-MA,0,False,True
